[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.203

[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.379

[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.202

[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.115

[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.222

[1,0]<stdout>: Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.258

[1,0]<stdout>: Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.401

[1,0]<stdout>: Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.238

[1,0]<stdout>: Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.430

[1,0]<stdout>: Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.500
